2.50,1.50,1.57,
2.50,2.50,1.57,
2.50,2.50,3.14,
1.50,2.50,3.14,
1.50,2.50,4.71,
1.50,1.50,4.71,
1.50,1.50,0.00,
1.50,1.50,0.00,
2.50,1.50,0.00,
3.50,1.50,0.00,
4.50,1.50,0.00,
5.50,1.50,0.00,
6.50,1.50,0.00,
7.50,1.50,0.00,
8.50,1.50,0.00,
8.50,1.50,1.57,
8.50,2.50,1.57,
8.50,3.50,1.57,
8.50,4.50,1.57,
8.50,5.50,1.57,
8.50,6.50,1.57,
8.50,7.50,1.57,
8.50,8.50,1.57,
8.50,8.50,3.14,
7.50,8.50,3.14,
7.50,8.50,3.14,
6.50,8.50,3.14,
5.50,8.50,3.14,
4.50,8.50,3.14,
3.50,8.50,3.14,
2.50,8.50,3.14,
1.50,8.50,3.14,
1.50,8.50,4.71,
1.50,7.50,4.71,
1.50,6.50,4.71,
1.50,5.50,4.71,
1.50,4.50,4.71,
1.50,3.50,4.71,
1.50,2.50,4.71,
1.50,1.50,4.71,
1.50,1.50,0.00,
1.50,1.50,0.00,
2.50,1.50,0.00,
3.50,1.50,0.00,
4.50,1.50,0.00,
5.50,1.50,0.00,
6.50,1.50,0.00,
7.50,1.50,0.00,
8.50,1.50,0.00,
8.50,1.50,1.57,
8.50,2.50,1.57,
8.50,3.50,1.57,
8.50,4.50,1.57,
8.50,5.50,1.57,
8.50,6.50,1.57,
8.50,7.50,1.57,
8.50,8.50,1.57,
8.50,8.50,3.14,
7.50,8.50,3.14,
7.50,8.50,3.14,
6.50,8.50,3.14,
5.50,8.50,3.14,
4.50,8.50,3.14,
3.50,8.50,3.14,
2.50,8.50,3.14,
1.50,8.50,3.14,
1.50,8.50,4.71,
1.50,7.50,4.71,
1.50,6.50,4.71,
1.50,5.50,4.71,
1.50,4.50,4.71,
1.50,3.50,4.71,
1.50,2.50,4.71,
1.50,1.50,4.71,
1.50,1.50,0.00,
